item_id,date,p10,p50,p90
lok_ma_chau,2024-04-19T00:00:00Z,10875.46214717943,14583.327428245408,17512.326797791226
lok_ma_chau,2024-04-20T00:00:00Z,12313.229798684739,18065.914568217762,22735.82671375999
lok_ma_chau,2024-04-21T00:00:00Z,18523.16228134136,24589.21794117057,29032.205630753735
lok_ma_chau,2024-04-22T00:00:00Z,13535.023123139898,17350.779518361516,23185.55264240831
lok_ma_chau,2024-04-23T00:00:00Z,10697.587070735535,14415.937101507594,18612.243088848085
lok_ma_chau,2024-04-24T00:00:00Z,11159.54342076219,14454.821137128942,17874.105876311474
lok_ma_chau,2024-04-25T00:00:00Z,11353.925220891248,14468.299086446408,17996.209359661
lok_ma_chau,2024-04-26T00:00:00Z,11264.072847736981,15688.581269541744,20014.825458111067
lok_ma_chau,2024-04-27T00:00:00Z,13838.2189738651,19044.035326012054,23474.30290658147
lok_ma_chau,2024-04-28T00:00:00Z,14871.822066259692,23941.755501828204,28811.593099862
lok_ma_chau,2024-04-29T00:00:00Z,11770.979595537718,17483.3532456326,25306.828317594092
lok_ma_chau,2024-04-30T00:00:00Z,11310.863728694072,14316.969777792408,18639.262788755757
lok_ma_chau,2024-05-01T00:00:00Z,11261.230471421077,14412.489168836364,17635.682011132827
lok_ma_chau,2024-05-02T00:00:00Z,10652.37173208808,14246.678899614015,17682.10987777386
lok_ma_chau,2024-05-03T00:00:00Z,11050.287690398949,15394.470064433484,19554.742323395116
lok_ma_chau,2024-05-04T00:00:00Z,14647.24183688108,18871.41686794707,23174.86015267702
lok_ma_chau,2024-05-05T00:00:00Z,18642.298493733822,23459.51693463912,29558.047931923888
lok_ma_chau,2024-05-06T00:00:00Z,13258.00273463384,17041.66487529521,23567.24013227293
lok_ma_chau,2024-05-07T00:00:00Z,11333.090274438,14675.99513092785,19410.117005895307
lok_ma_chau,2024-05-08T00:00:00Z,10919.746564041907,14660.429499380762,18269.46374503137
lok_ma_chau,2024-05-09T00:00:00Z,11233.699667107372,14328.005462524441,17497.10785565851
lok_ma_chau,2024-05-10T00:00:00Z,11750.234873240795,15456.018761845793,19601.55986760132
lok_ma_chau,2024-05-11T00:00:00Z,14964.180184058154,19227.714880954074,24525.309268716388
lok_ma_chau,2024-05-12T00:00:00Z,16130.43606969752,23054.390204579533,29513.355443553824
lok_ma_chau,2024-05-13T00:00:00Z,13513.64746568968,16822.871012942956,22739.970610068776
lok_ma_chau,2024-05-14T00:00:00Z,10681.263596885336,14154.749590478046,18922.032547093673
lok_ma_chau,2024-05-15T00:00:00Z,11361.128295560138,14606.814208430442,18127.20976158486
lok_ma_chau,2024-05-16T00:00:00Z,11272.000479001112,14792.851992581585,18841.793143104158
lok_ma_chau,2024-05-17T00:00:00Z,10412.68140673788,15552.748908177475,19807.643790720907
lok_ma_chau,2024-05-18T00:00:00Z,13499.64494672514,19056.59565232427,23660.705704844175
lok_ma_chau,2024-05-19T00:00:00Z,17904.374713621688,24139.04201128349,29886.232355994827
lok_ma_chau,2024-05-20T00:00:00Z,12721.365085103225,17355.913887301853,24474.843099317968
lok_ma_chau,2024-05-21T00:00:00Z,11315.406854028492,14916.662218018235,19819.628180914802
lok_ma_chau,2024-05-22T00:00:00Z,10634.107062484836,14562.751604379046,18563.2103957796
lok_ma_chau,2024-05-23T00:00:00Z,10942.100261270116,14909.17568968938,18581.080115528526
lok_ma_chau,2024-05-24T00:00:00Z,10046.252711220652,15520.051958318896,19782.33686111954
lok_ma_chau,2024-05-25T00:00:00Z,13192.641453026175,19251.88420038967,23697.43570636295
lok_ma_chau,2024-05-26T00:00:00Z,17474.72599765932,24056.945635622516,29873.037847510543
lok_ma_chau,2024-05-27T00:00:00Z,14459.088455308283,17808.872524727823,24905.741248844453
lok_ma_chau,2024-05-28T00:00:00Z,9636.193112445842,14938.42613846787,20080.13400918059
lok_ma_chau,2024-05-29T00:00:00Z,10857.508848294277,14843.551082863847,18775.559316291834
lok_ma_chau,2024-05-30T00:00:00Z,11249.79525059589,14802.327742044828,18770.412508164733
lok_ma_chau,2024-05-31T00:00:00Z,10372.85214078825,15585.81109771248,19948.343722630292
lok_ma_chau,2024-06-01T00:00:00Z,12616.770662038038,18887.099135791846,24219.33732092832
lok_ma_chau,2024-06-02T00:00:00Z,16459.75119178829,23217.921845900048,29508.817818151612
lok_ma_chau,2024-06-03T00:00:00Z,13807.563398566199,17767.060344320184,24547.643406512056
lok_ma_chau,2024-06-04T00:00:00Z,11833.439910398833,15221.136099797746,20949.838211510203
lok_ma_chau,2024-06-05T00:00:00Z,11655.64116385896,15074.132486665614,19240.742850904608
lok_ma_chau,2024-06-06T00:00:00Z,11614.24162511307,14815.964768026826,18902.00188157385
lok_ma_chau,2024-06-07T00:00:00Z,12223.682969005158,15937.345310349123,20450.755335156497
lok_ma_chau,2024-06-08T00:00:00Z,12976.539770090894,18787.395079878304,23846.714375079966
lok_ma_chau,2024-06-09T00:00:00Z,18437.89160513426,24035.15904145434,30429.71765054988
lok_ma_chau,2024-06-10T00:00:00Z,14416.960062925826,17550.936879071425,25548.015559484615
lok_ma_chau,2024-06-11T00:00:00Z,11617.360515615212,15157.616713623138,20162.824385868953
lok_ma_chau,2024-06-12T00:00:00Z,11372.749705045644,14731.413380746057,18959.727217923715
