item_id,date,p10,p50,p90
zhuhai_macao_bridge,2024-04-19T00:00:00Z,24048.25910129801,33074.32933086767,41724.05954625107
zhuhai_macao_bridge,2024-04-20T00:00:00Z,30432.630712401937,39891.66855141462,52898.199303459594
zhuhai_macao_bridge,2024-04-21T00:00:00Z,39521.02740708682,55567.93891193603,68501.42736146248
zhuhai_macao_bridge,2024-04-22T00:00:00Z,28755.809975128228,37796.19496489603,59332.583841804146
zhuhai_macao_bridge,2024-04-23T00:00:00Z,22827.584115703576,32208.650769730288,44224.07346080341
zhuhai_macao_bridge,2024-04-24T00:00:00Z,23765.042387283538,31484.205229828593,42815.22801900205
zhuhai_macao_bridge,2024-04-25T00:00:00Z,23373.96122095884,31518.72960818519,43680.45189264866
zhuhai_macao_bridge,2024-04-26T00:00:00Z,24168.40148935002,35144.77034730754,48708.70975469712
zhuhai_macao_bridge,2024-04-27T00:00:00Z,30123.97243576592,41968.71907200306,55422.980160912935
zhuhai_macao_bridge,2024-04-28T00:00:00Z,38790.04945606084,54616.76822032298,67469.71333666563
zhuhai_macao_bridge,2024-04-29T00:00:00Z,30036.53881185014,38681.43664074416,64048.04381080102
zhuhai_macao_bridge,2024-04-30T00:00:00Z,24648.17077869355,32351.911241432597,44114.1584602201
zhuhai_macao_bridge,2024-05-01T00:00:00Z,23841.690093904454,32157.651586091197,42504.256701193895
zhuhai_macao_bridge,2024-05-02T00:00:00Z,23088.36271975792,31463.955072030483,41867.32404272971
zhuhai_macao_bridge,2024-05-03T00:00:00Z,25493.668056515686,34947.1210373034,47347.1724219381
zhuhai_macao_bridge,2024-05-04T00:00:00Z,32635.63102798113,41642.71805083533,55191.96645383924
zhuhai_macao_bridge,2024-05-05T00:00:00Z,41075.93956562864,53390.55327623762,70329.1221803049
zhuhai_macao_bridge,2024-05-06T00:00:00Z,28837.128645893084,37255.25885880817,58609.88688248585
zhuhai_macao_bridge,2024-05-07T00:00:00Z,24011.227466259435,33133.31403451548,46614.26012563611
zhuhai_macao_bridge,2024-05-08T00:00:00Z,23187.94586482649,32798.60575733887,45153.75051483566
zhuhai_macao_bridge,2024-05-09T00:00:00Z,23219.72328059442,31898.82837945206,41607.74332777092
zhuhai_macao_bridge,2024-05-10T00:00:00Z,26675.452567239055,35650.56989663918,47993.086102304136
zhuhai_macao_bridge,2024-05-11T00:00:00Z,32252.87238034101,42636.16497468404,59240.82470259755
zhuhai_macao_bridge,2024-05-12T00:00:00Z,40492.92883157747,53237.60990758927,69731.26805453314
zhuhai_macao_bridge,2024-05-13T00:00:00Z,28895.10761923607,37485.942912174476,53398.678022565684
zhuhai_macao_bridge,2024-05-14T00:00:00Z,23969.291087325546,31531.893301957978,45420.246409077634
zhuhai_macao_bridge,2024-05-15T00:00:00Z,23787.50756366003,32117.037417118176,43168.94868016376
zhuhai_macao_bridge,2024-05-16T00:00:00Z,23855.41837391454,33198.165418829034,44192.49845294453
zhuhai_macao_bridge,2024-05-17T00:00:00Z,22173.792542652925,34761.11251052856,46083.54746100999
zhuhai_macao_bridge,2024-05-18T00:00:00Z,27821.428880983956,42764.80594087261,56217.00658172258
zhuhai_macao_bridge,2024-05-19T00:00:00Z,38791.89557309707,55957.92294271738,71469.5601577231
zhuhai_macao_bridge,2024-05-20T00:00:00Z,29317.54516478791,38530.93132665221,59446.16960740996
zhuhai_macao_bridge,2024-05-21T00:00:00Z,24361.458002203843,33156.785162309636,47150.768875490496
zhuhai_macao_bridge,2024-05-22T00:00:00Z,22231.170504950875,31962.53825970999,44579.40624206466
zhuhai_macao_bridge,2024-05-23T00:00:00Z,23174.9254454325,33863.57044767287,43937.840335839646
zhuhai_macao_bridge,2024-05-24T00:00:00Z,23792.958774584295,35032.458810612254,48243.04924075218
zhuhai_macao_bridge,2024-05-25T00:00:00Z,28613.73663735415,42944.373761679984,56094.04471345726
zhuhai_macao_bridge,2024-05-26T00:00:00Z,37161.27645063725,54682.64204904753,69275.47924491044
zhuhai_macao_bridge,2024-05-27T00:00:00Z,30324.794829437073,39693.75909805714,61065.43155932432
zhuhai_macao_bridge,2024-05-28T00:00:00Z,24748.942777975655,33419.12545822674,47521.90607308323
zhuhai_macao_bridge,2024-05-29T00:00:00Z,22905.303191874198,33203.98586541079,44361.787133739315
zhuhai_macao_bridge,2024-05-30T00:00:00Z,24089.161568223102,32672.658500091045,44499.07675845317
