item_id,date,p10,p50,p90
express_rail_link_west_kowloon,2024-04-19T00:00:00Z,25639.418329161374,34429.811552640924,42590.50520722193
express_rail_link_west_kowloon,2024-04-20T00:00:00Z,29743.83201463565,41296.22540784296,53711.787396821834
express_rail_link_west_kowloon,2024-04-21T00:00:00Z,32237.731455122994,45366.164624455676,57436.54741957223
express_rail_link_west_kowloon,2024-04-22T00:00:00Z,26193.016458922477,35307.41748173754,48344.05590213626
express_rail_link_west_kowloon,2024-04-23T00:00:00Z,22043.92720952366,31488.043987779252,41946.974681487154
express_rail_link_west_kowloon,2024-04-24T00:00:00Z,23052.813060052875,31650.335349440924,42307.25358865621
express_rail_link_west_kowloon,2024-04-25T00:00:00Z,23744.07933771795,32230.82474823459,42426.48567619168
express_rail_link_west_kowloon,2024-04-26T00:00:00Z,24891.631141436585,36644.82707311747,47603.288573646365
express_rail_link_west_kowloon,2024-04-27T00:00:00Z,30101.206271178384,44276.30089084722,54819.44006843748
express_rail_link_west_kowloon,2024-04-28T00:00:00Z,28372.561390440627,44771.930102036,56051.95094617057
express_rail_link_west_kowloon,2024-04-29T00:00:00Z,25247.17184460261,35576.53207994119,51592.69952385052
express_rail_link_west_kowloon,2024-04-30T00:00:00Z,23268.26096409862,31030.815314428186,42533.65303101399
express_rail_link_west_kowloon,2024-05-01T00:00:00Z,22296.097487746694,31131.780650457757,40822.21156449219
express_rail_link_west_kowloon,2024-05-02T00:00:00Z,22591.575809085127,31725.20646581017,42133.02851680115
express_rail_link_west_kowloon,2024-05-03T00:00:00Z,24180.221777728653,35670.28602433561,47319.254746713
express_rail_link_west_kowloon,2024-05-04T00:00:00Z,32590.72646151853,42862.321530443805,55490.26235462191
express_rail_link_west_kowloon,2024-05-05T00:00:00Z,32111.882122130417,43599.65426102164,57997.04215382427
express_rail_link_west_kowloon,2024-05-06T00:00:00Z,25638.87836428665,34583.80706120447,48486.530450927006
express_rail_link_west_kowloon,2024-05-07T00:00:00Z,22466.761950490418,31972.85864060132,44605.09376129234
express_rail_link_west_kowloon,2024-05-08T00:00:00Z,21486.28998885182,32228.765171126746,43802.524503295674
express_rail_link_west_kowloon,2024-05-09T00:00:00Z,22835.596202942506,32060.23429955243,42423.0506707388
express_rail_link_west_kowloon,2024-05-10T00:00:00Z,26409.87721335819,36045.41832313732,46976.02845238318
express_rail_link_west_kowloon,2024-05-11T00:00:00Z,32272.287462111624,44113.51800500973,58243.45802041595
express_rail_link_west_kowloon,2024-05-12T00:00:00Z,30012.57948217258,43888.29227898305,58652.15049222795
express_rail_link_west_kowloon,2024-05-13T00:00:00Z,25426.4043507066,34178.08670648216,48021.63364026646
express_rail_link_west_kowloon,2024-05-14T00:00:00Z,21796.75983148384,30352.95458722543,43253.45061399293
express_rail_link_west_kowloon,2024-05-15T00:00:00Z,22000.530204156308,30931.20973402124,41797.48419941543
express_rail_link_west_kowloon,2024-05-16T00:00:00Z,23045.898210491083,32440.361467257546,45025.95333195405
express_rail_link_west_kowloon,2024-05-17T00:00:00Z,21267.01434227136,35687.98426660797,47337.3563612085
express_rail_link_west_kowloon,2024-05-18T00:00:00Z,28635.83971612999,44782.88444304784,56893.49454838989
express_rail_link_west_kowloon,2024-05-19T00:00:00Z,30948.236276298892,45024.58213500999,59350.27136542339
express_rail_link_west_kowloon,2024-05-20T00:00:00Z,25220.257782172863,35229.24042663856,50481.11485766701
express_rail_link_west_kowloon,2024-05-21T00:00:00Z,22417.532766103872,31930.322285049777,45318.250012030476
express_rail_link_west_kowloon,2024-05-22T00:00:00Z,20580.04769875781,31200.278682772183,43502.696651390994
express_rail_link_west_kowloon,2024-05-23T00:00:00Z,21911.476396038015,33084.748131978704,43877.86630520463
express_rail_link_west_kowloon,2024-05-24T00:00:00Z,23675.206648568932,35429.658539804645,48553.76865518109
express_rail_link_west_kowloon,2024-05-25T00:00:00Z,29046.493978064354,44240.83883263712,57535.69160354527
express_rail_link_west_kowloon,2024-05-26T00:00:00Z,29159.04208760113,44980.32060288266,58720.302767144436
express_rail_link_west_kowloon,2024-05-27T00:00:00Z,26654.110984558476,35803.10282008929,52739.263416207
express_rail_link_west_kowloon,2024-05-28T00:00:00Z,22050.974232540048,31950.564063430866,45326.496872106916
express_rail_link_west_kowloon,2024-05-29T00:00:00Z,20338.259375781454,31700.816900512087,43182.42397587072
express_rail_link_west_kowloon,2024-05-30T00:00:00Z,22676.510450411417,32378.058483557237,44222.44894510097
express_rail_link_west_kowloon,2024-05-31T00:00:00Z,24353.889996191152,35393.40110408823,47803.73642956958
express_rail_link_west_kowloon,2024-06-01T00:00:00Z,26841.789434778824,44373.22300570398,57060.599921608926
express_rail_link_west_kowloon,2024-06-02T00:00:00Z,29962.821386728072,42741.81498369399,57575.09404008811
express_rail_link_west_kowloon,2024-06-03T00:00:00Z,25225.175432427157,35806.797088194486,51757.86071627069
